code;title;section;is_foil
HAI20;Frantzdy Pierrot;Haiti;FALSE
SCO1;Emblem;Scotland;TRUE
SCO2;Angus Gunn;Scotland;FALSE
SCO3;Jack Hendry;Scotland;FALSE
SCO4;Kieran Tierney;Scotland;FALSE
SCO5;Aaron Hickey;Scotland;FALSE
SCO6;Andrew Robertson;Scotland;FALSE
SCO7;Scott McKenna;Scotland;FALSE
SCO8;John Souttar;Scotland;FALSE
SCO9;Anthony Ralston;Scotland;FALSE
SCO10;Grant Hanley;Scotland;FALSE
SCO11;Scott McTominay;Scotland;FALSE
SCO12;Billy Gilmour;Scotland;FALSE
SCO13;Team Photo;Scotland;FALSE
SCO14;Lewis Ferguson;Scotland;FALSE
SCO15;Ryan Christie;Scotland;FALSE
SCO16;Kenny McLean;Scotland;FALSE
SCO17;John McGinn;Scotland;FALSE
SCO18;Lyndon Dykes;Scotland;FALSE
SCO19;Che Adams;Scotland;FALSE
SCO20;Ben Gannon-Doak;Scotland;FALSE
USA1;Emblem;USA;TRUE
USA2;Math Freese;USA;FALSE
USA3;Chris Richards;USA;FALSE
USA4;Tim Ream;USA;FALSE
USA5;Mark McKenzie;USA;FALSE
USA6;Alex Freeman;USA;FALSE
USA7;Antonee Robinson;USA;FALSE
USA8;Tyler Adams;USA;FALSE
USA9;Tanner Tessmann;USA;FALSE
USA10;Weston McKenny;USA;FALSE
USA11;Christian Roldan;USA;FALSE
USA12;Timothy Weah;USA;FALSE
USA13;Team Photo;USA;FALSE
USA14;Diego Luna;USA;FALSE
USA15;Malik Tillman;USA;FALSE
USA16;Christian Pulisic;USA;FALSE
USA17;Brenden Aaronson;USA;FALSE
USA18;Ricardo Pepi;USA;FALSE
USA19;Haji Wright;USA;FALSE
USA20;Folarin Balogun;USA;FALSE
PAR1;Emblem;Paraguay;TRUE
PAR2;Roberto Fernandez;Paraguay;FALSE
PAR3;Orlando Gill;Paraguay;FALSE
PAR4;Gustavo Gomez;Paraguay;FALSE
PAR5;Fabián Balbuena;Paraguay;FALSE
PAR6;Juan José Cáceres;Paraguay;FALSE
PAR7;Omar Alderete;Paraguay;FALSE
PAR8;Junior Alonso;Paraguay;FALSE
PAR9;Mathías Villasanti;Paraguay;FALSE
PAR10;Diego Gomez;Paraguay;FALSE
PAR11;Damián Bobadilla;Paraguay;FALSE
PAR12;Andres Cubas;Paraguay;FALSE
PAR13;Team Photo;Paraguay;FALSE
PAR14;Matias Galarza Fonda;Paraguay;FALSE
PAR15;Julio Enciso;Paraguay;FALSE
PAR16;Alejandro Romero Gamarra;Paraguay;FALSE
PAR17;Miguel Almirón;Paraguay;FALSE
PAR18;Ramon Sosa;Paraguay;FALSE
PAR19;Angel Romero;Paraguay;FALSE
PAR20;Antonio Sanabria;Paraguay;FALSE
AUS1;Emblem;Australia;TRUE
AUS2;Mathew Ryan;Australia;FALSE
AUS3;Joe Gauci;Australia;FALSE
AUS4;Harry Souttar;Australia;FALSE
AUS5;Alessandro Circati;Australia;FALSE
AUS6;Jordan Bos;Australia;FALSE
AUS7;Aziz Behich;Australia;FALSE
AUS8;Cameron Burgess;Australia;FALSE
AUS9;Lewis Miller;Australia;FALSE
AUS10;Milos Degenek;Australia;FALSE
AUS11;Jackson Irvine;Australia;FALSE
AUS12;Riley McGree;Australia;FALSE
AUS13;Team Photo;Australia;FALSE
AUS14;Aiden O'Neill;Australia;FALSE
AUS15;Connor Metcalfe;Australia;FALSE
AUS16;Patrick Yazbek;Australia;FALSE
AUS17;Craig Goodwin;Australia;FALSE
AUS18;Kusini Vengi;Australia;FALSE
AUS19;Nestory Irankunda;Australia;FALSE
AUS20;Mohamed Touré;Australia;FALSE
TUR1;Emblem;Türkiye;TRUE
TUR2;Ugurcan Cakir;Türkiye;FALSE
TUR3;Mert Muldur;Türkiye;FALSE
TUR4;Zeki Celik;Türkiye;FALSE
TUR5;Abdulkerim Bardakci;Türkiye;FALSE
TUR6;Caglar Soyuncu;Türkiye;FALSE
TUR7;Merih Demiral;Türkiye;FALSE
TUR8;Ferdi Kadioglu;Türkiye;FALSE
TUR9;Kaan Ayhan;Türkiye;FALSE
TUR10;Ismail Yuksek;Türkiye;FALSE
TUR11;Hakan Calhanoglu;Türkiye;FALSE
TUR12;Orkun Kokcu;Türkiye;FALSE
TUR13;Team Photo;Türkiye;FALSE
TUR14;Arda Guler;Türkiye;FALSE
TUR15;Irfan Can Kahveci;Türkiye;FALSE
TUR16;Yunus Akgun;Türkiye;FALSE
TUR17;Can Uzun;Türkiye;FALSE
TUR18;Baris Alper Yilmaz;Türkiye;FALSE
TUR19;Kerem Akturkoglu;Türkiye;FALSE
TUR20;Kenan Yildiz;Türkiye;FALSE
GER1;Emblem;Germany;TRUE
GER2;Marc-André ter Stegen;Germany;FALSE
GER3;Jonathan Tah;Germany;FALSE
GER4;David Raum;Germany;FALSE
GER5;Nico Schlotterbeck;Germany;FALSE
GER6;Antonio Rüdiger;Germany;FALSE
GER7;Waldemar Anton;Germany;FALSE
GER8;Ridle Baku;Germany;FALSE
GER9;Maximilian Mittelstadt;Germany;FALSE
GER10;Joshua Kimmich;Germany;FALSE
GER11;Florian Wirtz;Germany;FALSE
GER12;Felix Nmecha;Germany;FALSE
GER13;Team Photo;Germany;FALSE
GER14;Leon Goretzka;Germany;FALSE
GER15;Jamal Musiala;Germany;FALSE
GER16;Serge Gnabry;Germany;FALSE
GER17;Kai Havertz;Germany;FALSE
GER18;Leroy Sane;Germany;FALSE
GER19;Karim Adeyemi;Germany;FALSE
GER20;Nick Woltemade;Germany;FALSE
CUW1;Emblem;Curaçao;TRUE
CUW2;Eloy Room;Curaçao;FALSE
CUW3;Armando Obispo;Curaçao;FALSE
CUW4;Sherel Floranus;Curaçao;FALSE
CUW5;Jurien Gaari;Curaçao;FALSE
CUW6;Joshua Brenet;Curaçao;FALSE
CUW7;Roshon Van Eijma;Curaçao;FALSE
CUW8;Shurandy Sambo;Curaçao;FALSE
CUW9;Livano Comenencia;Curaçao;FALSE
CUW10;Godfried Roemeratoe;Curaçao;FALSE
CUW11;Juninho Bacuna;Curaçao;FALSE
CUW12;Leandro Bacuna;Curaçao;FALSE
CUW13;Team Photo;Curaçao;FALSE
CUW14;Tahith Chong;Curaçao;FALSE
CUW15;Kenji Gorre;Curaçao;FALSE
CUW16;Jearl Margaritha;Curaçao;FALSE
CUW17;Jurgen Locadia;Curaçao;FALSE
CUW18;Jeremy Antonisse;Curaçao;FALSE
CUW19;Gervane Kastaneer;Curaçao;FALSE
CUW20;Sontje Hansen;Curaçao;FALSE
CIV1;Emblem;Ivory Coast;TRUE
CIV2;Yahia Fofana;Ivory Coast;FALSE
CIV3;Ghislain Konan;Ivory Coast;FALSE
CIV4;Wilfried Singo;Ivory Coast;FALSE
CIV5;Odilon Kossounou;Ivory Coast;FALSE
CIV6;Evan Ndicka;Ivory Coast;FALSE
CIV7;Willy Boly;Ivory Coast;FALSE
CIV8;Emmanuel Agbadou;Ivory Coast;FALSE
CIV9;Ousmane Diomande;Ivory Coast;FALSE
CIV10;Franck Kessie;Ivory Coast;FALSE
CIV11;Seko Fofana;Ivory Coast;FALSE
CIV12;Ibrahim Sangare;Ivory Coast;FALSE
CIV13;Team Photo;Ivory Coast;FALSE
CIV14;Jean-Philippe Gbamin;Ivory Coast;FALSE
CIV15;Amad Diallo;Ivory Coast;FALSE
CIV16;Sébastien Haller;Ivory Coast;FALSE
CIV17;Simon Adingra;Ivory Coast;FALSE
CIV18;Yan Diomande;Ivory Coast;FALSE
CIV19;Evann Guessand;Ivory Coast;FALSE
CIV20;Oumar Diakite;Ivory Coast;FALSE
ECU1;Emblem;Ecuador;TRUE
ECU2;Hernán Galíndez;Ecuador;FALSE
ECU3;Gonzalo Valle;Ecuador;FALSE
ECU4;Piero Hincapié;Ecuador;FALSE
ECU5;Pervis Estupiñán;Ecuador;FALSE
ECU6;Willian Pacho;Ecuador;FALSE
ECU7;Ángelo Preciado;Ecuador;FALSE
ECU8;Joel Ordóñez;Ecuador;FALSE
ECU9;Moises Caicedo;Ecuador;FALSE
ECU10;Alan Franco;Ecuador;FALSE
ECU11;Kendry Paez;Ecuador;FALSE
ECU12;Pedro Vite;Ecuador;FALSE
ECU13;Team Photo;Ecuador;FALSE
ECU14;John Veboah;Ecuador;FALSE
ECU15;Leonardo Campana;Ecuador;FALSE
ECU16;Gonzalo Plata;Ecuador;FALSE
ECU17;Nilson Angulo;Ecuador;FALSE
ECU18;Alan Minda;Ecuador;FALSE
ECU19;Kevin Rodriguez;Ecuador;FALSE
ECU20;Enner Valencia;Ecuador;FALSE
NED1;Emblem;Netherlands;TRUE
NED2;Bart Verbruggen;Netherlands;FALSE
NED3;Virgil van Dijk;Netherlands;FALSE
NED4;Micky van de Ven;Netherlands;FALSE
NED5;Jurrien Timber;Netherlands;FALSE
NED6;Denzel Dumfries;Netherlands;FALSE
NED7;Nathan Aké;Netherlands;FALSE
NED8;Jeremie Frimpong;Netherlands;FALSE
NED9;Jan Paul van Hecke;Netherlands;FALSE
NED10;Tijjani Reijnders;Netherlands;FALSE
NED11;Ryan Gravenberch;Netherlands;FALSE
NED12;Teun Koopmeiners;Netherlands;FALSE
NED13;Team Photo;Netherlands;FALSE
NED14;Frenkie de Jong;Netherlands;FALSE
NED15;Xavi Simons;Netherlands;FALSE
NED16;Justin Kluivert;Netherlands;FALSE
NED17;Memphis Depay;Netherlands;FALSE
NED18;Donyell Malen;Netherlands;FALSE
NED19;Wout Weghorst;Netherlands;FALSE
NED20;Cody Gakpo;Netherlands;FALSE
JPN1;Emblem;Japan;TRUE
JPN2;Zion Suzuki;Japan;FALSE
JPN3;Henry Heroki Mochizuki;Japan;FALSE
JPN4;Ayumu Seko;Japan;FALSE
JPN5;Junnosuke Suzuki;Japan;FALSE
JPN6;Shogo Taniguchi;Japan;FALSE
JPN7;Tsuyoshi Watanabe;Japan;FALSE
JPN8;Kaishu Sano;Japan;FALSE
JPN9;Yuki Soma;Japan;FALSE
JPN10;Ao Tanaka;Japan;FALSE
JPN11;Daichi Kamada;Japan;FALSE
JPN12;Takefusa Kubo;Japan;FALSE
JPN13;Team Photo;Japan;FALSE
JPN14;Ritsu Doan;Japan;FALSE
JPN15;Keito Nakamura;Japan;FALSE
JPN16;Takumi Minamino;Japan;FALSE
JPN17;Shuto Machino;Japan;FALSE
JPN18;Junya Ito;Japan;FALSE
JPN19;Koki Ogawa;Japan;FALSE
JPN20;Ayase Ueda;Japan;FALSE
SWE1;Emblem;Sweden;TRUE
SWE2;Victor Johansson;Sweden;FALSE
SWE3;Isak Hien;Sweden;FALSE
SWE4;Gabriel Gudmundsson;Sweden;FALSE
SWE5;Emil Holm;Sweden;FALSE
SWE6;Victor Nilsson Lindelöf;Sweden;FALSE
SWE7;Gustaf Lagerbielke;Sweden;FALSE
SWE8;Lucas Bergvall;Sweden;FALSE
SWE9;Hugo Larsson;Sweden;FALSE
SWE10;Jesper Karlström;Sweden;FALSE
SWE11;Yasin Ayari;Sweden;FALSE
SWE12;Mattias Svanberg;Sweden;FALSE
SWE13;Team Photo;Sweden;FALSE
SWE14;Daniel Svensson;Sweden;FALSE
SWE15;Ken Sema;Sweden;FALSE
SWE16;Roony Bardghji;Sweden;FALSE
SWE17;Dejan Kulusevski;Sweden;FALSE
SWE18;Anthony Elanga;Sweden;FALSE
SWE19;Alexander Isak;Sweden;FALSE
SWE20;Viktor Gyökeres;Sweden;FALSE
TUN1;Emblem;Tunisia;TRUE
TUN2;Bechir Ben Said;Tunisia;FALSE
TUN3;Aymen Dahmen;Tunisia;FALSE
TUN4;Yan Valery;Tunisia;FALSE
TUN5;Montassar Talbi;Tunisia;FALSE
TUN6;Yassine Meriah;Tunisia;FALSE
TUN7;Ali Abdi;Tunisia;FALSE
TUN8;Dylan Bronn;Tunisia;FALSE
TUN9;Ellyes Skhiri;Tunisia;FALSE
TUN10;Aissa Laidouni;Tunisia;FALSE
TUN11;Ferjani Sassi;Tunisia;FALSE
TUN12;Mohamed Ali Ben Romdhane;Tunisia;FALSE
TUN13;Team Photo;Tunisia;FALSE
TUN14;Hannibal Mejbri;Tunisia;FALSE
TUN15;Elias Achouri;Tunisia;FALSE
TUN16;Elias Saad;Tunisia;FALSE
TUN17;Hazem Mastouri;Tunisia;FALSE
TUN18;Ismael Gharbi;Tunisia;FALSE
TUN19;Sayfallah Ltaief;Tunisia;FALSE
TUN20;Naim Sliti;Tunisia;FALSE
BEL1;Emblem;Belgium;TRUE
BEL2;Thibaut Courtois;Belgium;FALSE
BEL3;Arthur Theate;Belgium;FALSE
BEL4;Timothy Castagne;Belgium;FALSE
BEL5;Zeno Debast;Belgium;FALSE
BEL6;Brandon Mechele;Belgium;FALSE
BEL7;Maxim De Cuyper;Belgium;FALSE
BEL8;Thomas Meunier;Belgium;FALSE
BEL9;Youri Tielemans;Belgium;FALSE
BEL10;Amadou Onana;Belgium;FALSE
BEL11;Nicolas Raskin;Belgium;FALSE
BEL12;Alexis Saelemaekers;Belgium;FALSE
BEL13;Team Photo;Belgium;FALSE
BEL14;Hans Vanaken;Belgium;FALSE
BEL15;Kevin De Bruyne;Belgium;FALSE
BEL16;Jérémy Doku;Belgium;FALSE
BEL17;Charles De Ketelaere;Belgium;FALSE
BEL18;Leandro Trossard;Belgium;FALSE
BEL19;Loïs Openda;Belgium;FALSE
BEL20;Romelu Lukaku;Belgium;FALSE
EGY1;Emblem;Egypt;TRUE
EGY2;Mohamed El Shenawy;Egypt;FALSE
EGY3;Mohamed Hany;Egypt;FALSE
EGY4;Mohamed Hamdy;Egypt;FALSE
EGY5;Yasser Ibrahim;Egypt;FALSE
EGY6;Khaled Sobhi;Egypt;FALSE
EGY7;Ramy Rabia;Egypt;FALSE
EGY8;Hossam Abdelmaguid;Egypt;FALSE
EGY9;Ahmed Fatouh;Egypt;FALSE
EGY10;Marwan Attia;Egypt;FALSE
EGY11;Zizo;Egypt;FALSE
EGY12;Hamdy Fathy;Egypt;FALSE
EGY13;Team Photo;Egypt;FALSE
EGY14;Mohamed Lasheen;Egypt;FALSE
EGY15;Emam Ashour;Egypt;FALSE
EGY16;Osama Faisal;Egypt;FALSE
EGY17;Mohamed Salah;Egypt;FALSE
EGY18;Mostafa Mohamed;Egypt;FALSE
EGY19;Trezeguet;Egypt;FALSE
EGY20;Omar Marmoush;Egypt;FALSE
IRN1;Emblem;Iran;TRUE
IRN2;Alireza Beiranvand;Iran;FALSE
IRN3;Morteza Pouraliganji;Iran;FALSE
IRN4;Ehsan Hajsafi;Iran;FALSE
IRN5;Milad Mohammadi;Iran;FALSE
IRN6;Shojae Khalilzadeh;Iran;FALSE
IRN7;Ramin Rezaeian;Iran;FALSE
IRN8;Hossein Kanaani;Iran;FALSE
IRN9;Sadegh Moharrami;Iran;FALSE
IRN10;Saleh Hardani;Iran;FALSE
IRN11;Saeed Ezatolahi;Iran;FALSE
IRN12;Saman Ghoddos;Iran;FALSE
IRN13;Team Photo;Iran;FALSE
IRN14;Omid Noorafkan;Iran;FALSE
IRN15;Roozbeh Cheshmi;Iran;FALSE
IRN16;Mohammad Mohebi;Iran;FALSE
IRN17;Sardar Azmoun;Iran;FALSE
IRN18;Mehdi Taremi;Iran;FALSE
IRN19;Alireza Jahanbakhsh;Iran;FALSE
IRN20;Ali Gholizadeh;Iran;FALSE
NZL1;Emblem;New Zealand;TRUE
NZL2;Max Crocombe Payne;New Zealand;FALSE
NZL3;Alex Paulsen;New Zealand;FALSE
NZL4;Michael Boxall;New Zealand;FALSE
NZL5;Liberato Cacace;New Zealand;FALSE
NZL6;Tim Payne;New Zealand;FALSE
NZL7;Tyler Bindon;New Zealand;FALSE
NZL8;Francis de Vries;New Zealand;FALSE
NZL9;Finn Surman;New Zealand;FALSE
NZL10;Joe Bell;New Zealand;FALSE
NZL11;Sarpreet Singh;New Zealand;FALSE
NZL12;Ryan Thomas;New Zealand;FALSE
NZL13;Team Photo;New Zealand;FALSE
NZL14;Matthew Garbett;New Zealand;FALSE
NZL15;Marko Stamenić;New Zealand;FALSE
NZL16;Ben Old;New Zealand;FALSE
NZL17;Chris Wood;New Zealand;FALSE
NZL18;Elijah Just;New Zealand;FALSE
NZL19;Callum McCowatt;New Zealand;FALSE
NZL20;Kosta Barbarouses;New Zealand;FALSE
ESP1;Emblem;Spain;TRUE
ESP2;Unai Simon;Spain;FALSE
ESP3;Robin Le Normand;Spain;FALSE
ESP4;Aymeric Laporte;Spain;FALSE
